Tumor_Sample_Barcode	total	cohort
DO1000	0.000585652	BRCA
DO1001	0.00449	BRCA
DO1002	0.00317228	BRCA
DO1003	0.00307467	BRCA
DO1004	0.00380673	BRCA
DO1005	0.00536847	BRCA
DO1006	0.00463641	BRCA
DO1007	0.00263543	BRCA
DO1008	0.000585652	BRCA
DO1009	0.00522206	BRCA
DO1010	0.00292826	BRCA
DO1011	0.00478282	BRCA
DO1012	0.0107369	BRCA
DO1013	0.00429478	BRCA
DO1014	9.76086e-05	BRCA
DO1015	0.0116154	BRCA
DO1016	0.00185456	BRCA
DO10172	0.00487805	COAD
DO1017	0.0022938	BRCA
DO1018	0.0352855	BRCA
DO1020	0.0102489	BRCA
DO10324	0.0146341	COAD
DO10631	0.0341463	COAD
DO10806	0.0129171	EOPC
DO10807	0.0365985	EOPC
DO10809	0.0236814	EOPC
DO10811	0.0452099	EOPC
DO10813	0.0365985	EOPC
DO10815	0.0355221	EOPC
DO10817	0.0258342	EOPC
DO10819	0.00861141	EOPC
DO10821	0.00645856	EOPC
DO10823	0.00861141	EOPC
DO10825	0.0258342	EOPC
DO10829	0.01507	EOPC
DO10831	0.0624327	EOPC
DO10833	0.0365985	EOPC
DO10835	0.00645856	EOPC
DO10839	0.0114889	ESAD
DO10840	0.013352	ESAD
DO10841	0.00465766	ESAD
DO10843	0.00170781	ESAD
DO10844	0.00310511	ESAD
DO10858	0.0192517	ESAD
DO10900	0.00101317	GBM
DO10908	0.00810537	GBM
DO10970	0.0182371	GBM
DO10975	0.0704154	GBM
DO11046	0.0182371	GBM
DO11148	0.0390071	GBM
DO11202	0.02077	GBM
DO11238	0.0106383	GBM
DO11292	0.00658561	GBM
DO11382	0.0303951	GBM
DO11441	0.064843	GBM
DO11447	0.0334347	GBM
DO11501	0.0182371	GBM
DO11776	0.00202634	GBM
DO11782	0.0151976	GBM
DO11794	0.0101317	GBM
DO11854	0.0921986	GBM
DO11860	0.0319149	GBM
DO12034	0.0101317	GBM
DO12352	0.0070922	GBM
DO12370	0.00861196	GBM
DO12382	0.0131712	GBM
DO12454	0.0455927	GBM
DO1249	0.00932162	BRCA
DO1257	0.0121035	BRCA
DO12742	0.0212766	GBM
DO1274	0.00439239	BRCA
DO12814	0.0222898	GBM
DO1281	0.000976086	BRCA
DO1287	0.0136164	BRCA
DO1290	0.000195217	BRCA
DO1291	0.0178624	BRCA
DO12952	0.0212766	GBM
DO1301	0.00126891	BRCA
DO13072	0.0364742	GBM
DO13132	0.00810537	GBM
DO13144	0.0653495	GBM
DO13192	0.0202634	GBM
DO1328	0.00307467	BRCA
DO13318	0.00303951	GBM
DO13348	0.107903	GBM
DO13474	0.00405268	GBM
DO13510	0.0288754	GBM
DO13575	0.0182371	GBM
DO1384	0.000878477	BRCA
DO13869	0.0101317	GBM
DO1392	0.00278184	BRCA
DO13971	0.0141844	GBM
DO14049	0.0425532	GBM
DO14159	0.00473093	HNSC
DO14192	0.0218805	HNSC
DO14204	0.0195151	HNSC
DO14236	0.0845653	HNSC
DO14238	0.00946186	HNSC
DO14242	0.0153755	HNSC
DO14250	0.017741	HNSC
DO14264	0.00946186	HNSC
DO14282	0.00709639	HNSC
DO14296	0.0342992	HNSC
DO14343	0.135423	HNSC
DO14420	0.0195151	HNSC
DO14502	0.0396215	HNSC
DO14566	0.0201064	HNSC
DO14582	0.00650503	HNSC
DO14614	0.0366647	HNSC
DO14678	0.0118273	HNSC
DO14686	0.0141928	HNSC
DO14718	0.0402129	HNSC
DO14742	0.0035482	HNSC
DO14750	0.0455352	HNSC
DO14814	0.0266115	HNSC
DO14862	0.011236	HNSC
DO14942	0.00591366	HNSC
DO15014	0.0313424	HNSC
DO15022	0.0183323	HNSC
DO15046	0.0762862	HNSC
DO15110	0.0124187	HNSC
DO1537	0.00156174	BRCA
DO15398	0.0331165	HNSC
DO15414	0.00236546	HNSC
DO15430	0.00827912	HNSC
DO15503	0.00709639	HNSC
DO15527	0.0159669	HNSC
DO15591	0.0561798	HNSC
DO1559	0.00292826	BRCA
DO15791	0.0236546	HNSC
DO15815	0.0331165	HNSC
DO15870	0.0130101	HNSC
DO15911	0.0147842	HNSC
DO16015	0.00473093	HNSC
DO16110	0.0214133	KIRC
DO16113	0.00214133	KIRC
DO16136	0.0117773	KIRC
DO16233	0.00321199	KIRC
DO16248	0.00428266	KIRC
DO16269	0.00642398	KIRC
DO1663	0.0144461	BRCA
DO16769	0.00428266	KIRC
DO16881	0.0513919	KIRC
DO16999	0.00749465	KIRC
DO17054	0.00642398	KIRC
DO17074	0.00214133	KIRC
DO17085	0.00642398	KIRC
DO17178	0.0171306	KIRC
DO17323	0.012848	KIRC
DO17373	0.673448	KIRC
DO17722	0.00856531	KIRC
DO17791	0.0107066	KIRC
DO17848	0.00642398	KIRC
DO17977	0.0107066	KIRC
DO18016	0.0107066	KIRC
DO18164	0.00642398	KIRC
DO18392	0.012848	KIRC
DO18651	0.0171306	KIRC
DO18671	0.00214133	KIRC
DO18839	0.0149893	KIRC
